KOD_DISC,NAME_DISC,NAME_DIV
"7805","Основи інформатики та прикладної лінгвістики зі змістовим модулем: копірайтинг","Кафедра германської філології"
"7807","Інноваційні освітні технології у викладанні іноземних мов","Кафедра германської філології"
"7809","Основи апаратної фізіотерапії","Кафедра фізичної терапії, ерготерапії та спортивної медицини"
"7810","Гідрокінезіотерапія","Кафедра фізичної терапії, ерготерапії та спортивної медицини"
"7813","Клінічна анатомія та оперативна хірургія","Кафедра морфології"
"7815","Підготовка офіцерів запасу галузі знань ""Охорона здоров'я"". Спеціальність ""Стоматологі""","Кафедра екстреної медичної допомоги та медицини катастроф"
"7816","Підготовка офіцерів запасу галузі знань ""Охорона здоров'я"". Спеціальність ""Медицина""","Кафедра екстреної медичної допомоги та медицини катастроф"
"7816","Підготовка офіцерів запасу галузі знань ""Охорона здоров'я"". Спеціальність ""Медицина""","Кафедра хірургії, травматології, ортопедії та фтизіатрії"
"7817","Сучасні проблеми біофізики","Кафедра біофізики, біохімії, фармакології та біомолекулярної інженерії"
"7819","Анатомія людини з особливостями дитячого віку","Кафедра морфології"
"7820","Гістологія, цитологія та ембріологія з особливостями дитячого віку","Кафедра морфології"
"7821","Фізіологія з особливостями дитячого віку","Кафедра фізіології і патофізіології з курсом медичної біології"
"7822","Підготовка офіцерів запасу галузі знань ""Охорона здоров'я"". Спеціальність ""Педіатріяі""","Кафедра хірургії, травматології, ортопедії та фтизіатрії"
"7823","Клінічна анатомія та оперативна хірургія з особливостями дитячого віку","Кафедра морфології"
"7824","Гігієна та екологія з гігієною дитячого та підліткового віку","Кафедра громадського здоров'я"
"7825","Основи медичного та соціального страхування","Кафедра громадського здоров'я"
"7826","Системи охорони здоров'я. Основи соціальної та медичної політики","Кафедра громадського здоров'я"
"7827","Стратегічне та оперативне управління в охороні здоров'я. Управління якістю. Управлінський облік","Кафедра управління"
"7828","Пропедевтика медицини","Кафедра сімейної медицини з курсом дерматовенерології"
"7829","Основи санітарно-епідеміологічного нагляду","Кафедра громадського здоров'я"
"7830","Господарська діяльність в системі охорони здоров'я. Основи фінансового обліку. Фінансування та державне замовлення","Кафедра громадського здоров'я"
"7831","Основи демографії та основи біостатистики. Основи епідеміології","Кафедра громадського здоров'я"
"7832","Кваліфікована перша допомога","Кафедра громадського здоров'я"
"7832","Кваліфікована перша допомога","Кафедра хірургії, травматології, ортопедії та фтизіатрії"
"7833","Основи логіки","Кафедра психології, політології та соціокультурних технологій"
"7834","Правознавство громадського здоров'я","Кафедра адміністративного, господарського права та фінансово-економічної безпеки"
"7835","Охорона інтелектуальної власності","Кафедра кримінально-правових дисциплін та судочинства"
"7837","Статистичний аналіз, статистика в медицині","Кафедра громадського здоров'я"
"7838","Основи етики та деонтології","Кафедра громадського здоров'я"
"7841","Basics of Gender Analysis","Кафедра психології, політології та соціокультурних технологій"
"7843","Соціально-психологічний тренінг","Кафедра психології, політології та соціокультурних технологій"
"7845","Corporate Culture and Team Building","Кафедра психології, політології та соціокультурних технологій"
"7849","Стратегічний управлінський облік","Кафедра бухгалтерського обліку та оподаткування"
"7850","Методики формування здорового способу життя","Кафедра психології, політології та соціокультурних технологій"
