KOD_DISC,NAME_DISC,NAME_DIV
"2356","Методологія наукових досліджень","Кафедра міжнародного, європейського права та цивільно-правових дисциплін"
"2356","Методологія наукових досліджень","секція ""Інформаційні технології проектування"""
"2358","Інформаційні системи в інноваційній діяльності","Кафедра маркетингу"
"2362","Іноземна мова (професійного спілкування)","Кафедра іноземних мов"
"2363","Стратегічне управління інноваційним розвитком","Кафедра маркетингу"
"2364","Маркетинг інновацій","Кафедра маркетингу"
"2367","Діагностика потенціалу інноваційного розвитку підприємств","Кафедра маркетингу"
"2369","Креативний менеджмент","Кафедра маркетингу"
"2376","Брендинг","Кафедра журналістики та філології"
"2376","Брендинг","Кафедра маркетингу"
"2378","Планування проектних дій","Кафедра управління"
"2379","Планування проектних дій - КР","Кафедра управління"
"2381","Виконання проектних дій","Кафедра управління"
"2383","Інформаційні системи в управлінні проектами","Кафедра управління"
"2423","Теорія організацій","Кафедра управління"
"2425","Управління трудовими ресурсами","Кафедра управління"
"2426","Техніка адміністративної діяльності","Кафедра управління"
"2428","Управління змістом робіт","Кафедра управління"
"2430","Розробка та прийняття управлінських рішень","Кафедра управління"
"2431","Державне та муніціпальне управління","Кафедра управління"
"2434","Управління трудовими ресурсами - КР","Кафедра управління"
"2436","Управління інформаційними звязками - КР","Кафедра управління"
"2437","Антикризове управління","Кафедра управління"
"2447","Візуальні мови програмування","Кафедра електроніки, загальної та прикладної фізики"
"2448","Програмування систем збору і аналізу даних","Кафедра електроніки, загальної та прикладної фізики"
"2451","Енергозбереження в технічних системах","секція ""Комп`ютеризовані системи управління"""
"2453","Комп'ютерне моделювання і оптимізація процесів гідромеханіки та тепломасообміну","Кафедра процесів та обладнання хімічних і нафтопереробних виробництв"
"2456","Міжнародна економічна діяльність України","Кафедра міжнародних економічних відносин"
"2457","Міжнародна торгівля","Кафедра міжнародних економічних відносин"
"2458","Міжнародне економічне право","Кафедра міжнародного, європейського права та цивільно-правових дисциплін"
"2481","Моделі економічної динаміки","Кафедра економічної кібернетики"
"2487","Захист прав суб'єктів господарської діяльності","Кафедра адміністративного, господарського права та фінансово-економічної безпеки"
"2489","Інформаційне право","Кафедра адміністративного, господарського права та фінансово-економічної безпеки"
"2489","Інформаційне право","Кафедра кримінально-правових дисциплін та судочинства"
"2491","Інформаційне право - КР","Кафедра кримінально-правових дисциплін та судочинства"
"2503","Турбокомпресорні установки з газотурбінним приводом","Кафедра технічної теплофізики"
"2505","Інтернет-журналістика","Кафедра журналістики та філології"
"2508","Термічна обробка II","Кафедра прикладного матеріалознавства і технології конструкційних матеріалів"
"2529","Основи релейного захисту та автоматизації енергосистем","Кафедра електроенергетики"
"2531","Основи релейного захисту та автоматизації енергосистем - КР","Кафедра електроенергетики"
"2540","Мотиваційний механізм підприємства","Кафедра економіки, підприємництва та бізнес-адміністрування"
"2542","Практика перекладу текстів з міжнародного права","Кафедра германської філології"
"2543","Юридична термінологія","Кафедра германської філології"
"2545","Нотаріальний переклад","Кафедра германської філології"
"2546","Практика перекладу текстів з митного права","Кафедра германської філології"
"2547","Переклад текстів з цивільного права","Кафедра германської філології"
"2549","Офісна діяльність та легалізація","Кафедра германської філології"
"2551","Юридична філологія","Кафедра германської філології"
"2561","Цивільний захист","Кафедра прикладної екології"
"2584","Ризикологія - КР","Кафедра маркетингу"
"2589","Платформи корпоративних інформаційних систем","секція інформаційно-комунікаційних технологій"
"2590","Наноматеріали і нанотехнології в приладобудуванні","Кафедра електроніки, загальної та прикладної фізики"
"2591","Наноматеріали і нанотехнології в приладобудуванні - КР","Кафедра електроніки, загальної та прикладної фізики"
"2600","Спецрозділи технічної газової динаміки","Кафедра технічної теплофізики"
"2603","Теорія управління","Кафедра управління"
"2606","Алгоритми і структури даних","секція інформаційно-комунікаційних технологій"
"2607","Архітектура обчислювальних систем","секція інформаційно-комунікаційних технологій"
"2610","Обробка зображень та мультимедіа","секція інформаційно-комунікаційних технологій"
"2611","Операційні системи та системне програмування","секція інформаційно-комунікаційних технологій"
"2612","Організація та обробка електронної інформації","секція ""Інформаційні технології проектування"""
"2615","Системний аналіз та теорія прийняття рішень","секція інформаційно-комунікаційних технологій"
"2616","Теорія інформації та кодування","Кафедра електроніки та комп`ютерної техніки"
"2616","Теорія інформації та кодування","секція ""Комп`ютеризовані системи управління"""
"2618","Функціональне програмування","секція інформаційно-комунікаційних технологій"
"2627","Науковий практикум зі спеціальності","Кафедра журналістики та філології"
"2629","Наукова спеціалізація з соціальних комунікацій","Кафедра журналістики та філології"
"2639","Конкурентна політика","Кафедра економіки, підприємництва та бізнес-адміністрування"
"2642","Управління захистом комерційної таємниці на підприємстві","Кафедра кримінально-правових дисциплін та судочинства"
"2651","Управлінське (адміністративне) стажування","Кафедра управління"
"2653","Казначейська справа","Кафедра фінансів і підприємництва"
"2653","Казначейська справа","Кафедра фінансів, банківської справи та страхування"
"2662","Управління державною та колективною власністю","Кафедра управління"
"2668","Адміністративна поведінка","Кафедра управління"
"2689","Системи мобільного зв'язку","Кафедра електроніки та комп`ютерної техніки"
"2692","Історія світової цивілізації","Кафедра конституційного права, теорії та історії держави і права"
"2695","Державне та регіональне управління","Кафедра управління"
"2700","Організація судових та правоохоронних органів - КР","Кафедра адміністративного, господарського права та фінансово-економічної безпеки"
"2705","Інформаційні та телекомунікаційні технології","секція інформаційно-комунікаційних технологій"
"2711","Комп'ютерні методи оптимізації в механіці","Кафедра загальної механіки та динаміки машин"
"2712","Методи віброізоляції та врівноваження в механіці","Кафедра загальної механіки та динаміки машин"
"2720","Мова навчання (українська, російська)","Кафедра мовної підготовки іноземних громадян"
"2722","Економетрика","Кафедра економіки, підприємництва та бізнес-адміністрування"
"2722","Економетрика","Кафедра економічної кібернетики"
"2724","Теорія організацій - КР","Кафедра управління"
"2725","Самоменеджмент","Кафедра управління"
"2728","Офіс-менеджмент","Кафедра управління"
"2730","Основи теорії систем і системного аналізу","Кафедра управління"
"2731","Стратегія підприємства - КР","Кафедра економіки, підприємництва та бізнес-адміністрування"
"2736","Інтелектуальні інформаційні системи","секція інформаційно-комунікаційних технологій"
"2738","Операційні системи та системне програмування - КР","секція інформаційно-комунікаційних технологій"
"2739","Екстрена та невідкладна медична допомога","Кафедра екстреної медичної допомоги та медицини катастроф"
"2739","Екстрена та невідкладна медична допомога","Кафедра хірургії, травматології, ортопедії та фтизіатрії"
"2751","Теорія і методика рекламної та ПР творчості","Кафедра журналістики та філології"
"2764","Страховий менеджмент","Кафедра фінансів і підприємництва"
"2764","Страховий менеджмент","Кафедра фінансів, банківської справи та страхування"
"2765","Оподаткування суб'єктів підприємництва","Кафедра фінансів і підприємництва"
"2772","Управління банківськими ризиками","Кафедра фінансів, банківської справи та страхування"
"2773","Макрофінансове бюджетування","Кафедра фінансів, банківської справи та страхування"
"2774","Управління фінансовими ризиками","Кафедра фінансів і підприємництва"
"2774","Управління фінансовими ризиками","Кафедра фінансів, банківської справи та страхування"
"2777","Інфраструктура фінансового ринку","Кафедра фінансів, банківської справи та страхування"
"2780","Кредитний менеджмент","Кафедра фінансів, банківської справи та страхування"
"2797","Архітектура комп'ютерних систем","секція ""Комп`ютеризовані системи управління"""
"2800","Теорія систем та системний аналіз","секція ""Комп`ютеризовані системи управління"""
"2805","Крос-культурний менеджмент","Кафедра міжнародних економічних відносин"
"2805","Крос-культурний менеджмент","Кафедра управління"
"2814","Фінансова глобалізація","Кафедра фінансів і підприємництва"
"2849","Міжнародна фінансова звітність","Кафедра фінансів і підприємництва"
"2868","Бізнес-планування","Кафедра маркетингу"
"2869","Основи надійності об'єктів системотехніки","секція ""Комп`ютеризовані системи управління"""
"2875","Інтернет-бізнес","Кафедра маркетингу"
"2884","Маркетингове ціноутворення","Кафедра маркетингу"
"2885","Маркетинг промислового підприємства","Кафедра маркетингу"
"2886","Маркетингові комунікації","Кафедра маркетингу"
"2889","Символіка в рекламі та ПР","Кафедра журналістики та філології"
"2892","Теорія прийняття рішень","секція ""Інформаційні технології проектування"""
"2893","Математичні методи дослідження операцій","секція ""Інформаційні технології проектування"""
"2905","Інтелектуальний аналіз даних","Кафедра економічної кібернетики"
"2905","Інтелектуальний аналіз даних","секція ""Інформаційні технології проектування"""
"2906","Охорона праці та безпека життєдіяльності","Кафедра прикладної екології"
"2907","Web-технології та Web-дизайн","секція ""Інформаційні технології проектування"""
"2908","Крос-платформне програмування","секція ""Інформаційні технології проектування"""
"2909","Технологія створення програмних продуктів","секція ""Інформаційні технології проектування"""
"2910","Технології комп'ютерного проектування","секція ""Інформаційні технології проектування"""
"2912","Технології захисту інформації","секція ""Інформаційні технології проектування"""
"2912","Технології захисту інформації","секція інформаційно-комунікаційних технологій"
"2915","Методи та системи штучного інтелекту","секція ""Інформаційні технології проектування"""
"2917","Зарубіжна реклама і ПР","Кафедра журналістики та філології"
"2935","Організація роботи прес-служби","Кафедра журналістики та філології"
"2940","Програмні засоби системної інженерії","секція ""Комп`ютеризовані системи управління"""
"2946","Основи комп'ютерного дизайну","Кафедра електроніки, загальної та прикладної фізики"
"2952","Маркетинг у банку","Кафедра маркетингу"
"2956","Наукова спеціалізація з соціальних комунікацій - КР","Кафедра журналістики та філології"
"2958","Комп'ютерне моделювання процесів і систем","Кафедра електроенергетики"
"2958","Комп'ютерне моделювання процесів і систем","Кафедра прикладної математики та моделювання складних систем"
"2958","Комп'ютерне моделювання процесів і систем","секція ""Комп`ютеризовані системи управління"""
"2959","Контроль та керування якістю електроенергії","Кафедра електроенергетики"
"2964","Економічний механізм функціонування ринку електроенергії","Кафедра економіки, підприємництва та бізнес-адміністрування"
"2965","Організаційно - економічний механізм екологізації електроенергетики","Кафедра економіки, підприємництва та бізнес-адміністрування"
"2966","Стратегічне планування елктроенергетичного виробництва","Кафедра економіки, підприємництва та бізнес-адміністрування"
"2967","Проектний аналіз на підприємствах електроенергетики","Кафедра економіки, підприємництва та бізнес-адміністрування"
"2992","Інформаційний менеджмент","Кафедра економічної кібернетики"
"3019","Елементи теорії груп","Кафедра прикладної математики та моделювання складних систем"
"3020","Історія розвитку природознавчої думки","Кафедра прикладної математики та моделювання складних систем"
"3021","Створення і удосконалення технічних систем","Кафедра прикладної гідроаеромеханіки"
"3031","Теоретична та прикладна метрологія","Кафедра технології машинобудування, верстатів та інструментів"
"3032","Теорія організації та основи системного підходу","Кафедра технології машинобудування, верстатів та інструментів"
"3039","Аудит і оцінювання управлінської діяльності зі стандартизації, сертифікації та якості","Кафедра технології машинобудування, верстатів та інструментів"
"3044","Ергономіка","секція інформаційно-комунікаційних технологій"
"3049","Нелінійні, цифрові і багатовимірні системи управління","секція ""Комп`ютеризовані системи управління"""
"3050","Нелінійні, цифрові і багатовимірні системи управління - КР","секція ""Комп`ютеризовані системи управління"""
"3056","Гнучкі інтегровані системи управління","секція ""Комп`ютеризовані системи управління"""
"3085","Фізичні та біологічні мережі","Кафедра наноелектроніки"
"3092","Комп'ютерне моделювання робочих процесів енергетичних машин","Кафедра технічної теплофізики"
"3102","Основи візуальної комунікації та графічного дизайну","Кафедра журналістики та філології"
"3105","Комп'ютерна графіка II","Кафедра технічної теплофізики"
"3107","Технологія виробництва гідро- і пневмомашин і приводів","Кафедра прикладної гідроаеромеханіки"
"3113","Автоматизація та комп'ютерне керування виробничих процесів","Кафедра процесів та обладнання хімічних і нафтопереробних виробництв"
"3115","Технологія інструментального виробництва - КП","Кафедра технології машинобудування, верстатів та інструментів"
"3121","Організація та проведення НДДКР","Кафедра технічної теплофізики"
"3122","Енергозбереження в промисловості","Кафедра прикладної гідроаеромеханіки"
"3134","Автоматизація та комп'ютерне керування виробничих процесів","Кафедра процесів та обладнання хімічних і нафтопереробних виробництв"
"3152","Основи протидії до хакерських атак","Кафедра електроніки та комп`ютерної техніки"
"3154","Елементи контролю та візуалізації даних","Кафедра електроніки та комп`ютерної техніки"
"3155","SCADA - системи","Кафедра електроніки та комп`ютерної техніки"
"3163","Корпоративні інформаційні системи","Кафедра економічної кібернетики"
"3165","Основи науково-дослідної роботи","Кафедра фізичної терапії, ерготерапії та спортивної медицини"
"3167","Пропедевтика терапевтичної стоматології","Кафедра стоматології"
"3168","Економіка, організація та планування виробництва","Кафедра управління"
"3169","Котельні установки промислових підприємств","Кафедра прикладної гідроаеромеханіки"
"3170","Теплові мережі","Кафедра прикладної гідроаеромеханіки"
"3173","Пропедевтика ортопедічної стоматології","Кафедра стоматології"
"3174","Пропедевтика дитячої терапевтичної стоматології","Кафедра стоматології"
"3175","Терапевтична стоматологія","Кафедра стоматології"
"3176","Хірургічна стоматологія","Кафедра стоматології"
"3177","Ортопедична стоматологія","Кафедра стоматології"
"3178","Профілактика стоматологічних захворювань","Кафедра стоматології"
"3180","Ортодонтія","Кафедра стоматології"
"3183","Дитяча терапевтична стоматологія","Кафедра стоматології"
"3184","Дитяча хірургічна стоматологія","Кафедра стоматології"
"3189","Економіка охорони здоров'я","Кафедра громадського здоров'я"
"3190","Природоохоронне законодавство та екологічне право","Кафедра прикладної екології"
"3195","Технології утилізації та видалення відходів","Кафедра прикладної екології"
"3244","Вимірювання в енергетиці","Кафедра прикладної гідроаеромеханіки"
"3294","Теорія і розрахунки відцентрових машин","Кафедра загальної механіки та динаміки машин"
"3295","Теорія автоматичного керування механічними системами","Кафедра загальної механіки та динаміки машин"
"3298","Практичні аспекти гідродинамічної теорії змащення","Кафедра загальної механіки та динаміки машин"
"3302","Матеріали і компоненти електроніки","Кафедра наноелектроніки"
"3304","Вступ до техніки вимірювань","Кафедра електроніки та комп`ютерної техніки"
"3305","Методи термодинамічного аналізу установок та систем - КР","Кафедра технічної теплофізики"
"3307","Імовірнісні основи обробки даних","Кафедра наноелектроніки"
"3308","Фізичні основи електроніки","Кафедра електроніки, загальної та прикладної фізики"
"3314","Нормативно-правова база енерговикористання","Кафедра електроенергетики"
"3315","Енергонагляд в електроустановках промислових підприємств","Кафедра електроенергетики"
"3321","Пристрої аналогової електроніки","Кафедра електроніки та комп`ютерної техніки"
"3323","Функціональна електроніка","Кафедра електроніки, загальної та прикладної фізики"
"3324","Теорія інформації і обробка сигналів","Кафедра електроніки та комп`ютерної техніки"
"3327","Цифрові автомати в схемотехніці та програмуванні","Кафедра електроніки та комп`ютерної техніки"
"3328","Пристрої перетворювальної техніки","Кафедра електроніки та комп`ютерної техніки"
"3329","Мікропроцесорні пристрої керування та обробки інформації","Кафедра електроніки та комп`ютерної техніки"
"3330","Нанотехнології в електроніці","Кафедра електроніки, загальної та прикладної фізики"
"3332","Прилади і пристрої оптоелектроніки та спінтроніки","Кафедра електроніки, загальної та прикладної фізики"
"3333","Магніто-неоднорідні матеріали в приладобудуванні","Кафедра електроніки, загальної та прикладної фізики"
"3334","Основи вакуумних і пучкових технологій","Кафедра електроніки, загальної та прикладної фізики"
"3336","Захист інформації в комп'ютерних системах","Кафедра електроніки та комп`ютерної техніки"
"3340","Нелінійні процеси та моделі","Кафедра прикладної математики та моделювання складних систем"
"3343","Наближені методи вищого аналізу","Кафедра прикладної математики та моделювання складних систем"
"3347","Моделювання нейронних мереж","Кафедра прикладної математики та моделювання складних систем"
"3349","Науково-дослідна практика","Кафедра електроніки, загальної та прикладної фізики"
"3349","Науково-дослідна практика","Кафедра наноелектроніки"
"3349","Науково-дослідна практика","Кафедра прикладної математики та моделювання складних систем"
"3349","Науково-дослідна практика","Кафедра прикладного матеріалознавства і технології конструкційних матеріалів"
"3349","Науково-дослідна практика","секція ""Інформаційні технології проектування"""
"3349","Науково-дослідна практика","секція інформаційно-комунікаційних технологій"
"3350","Математичні моделі в фінансах","Кафедра прикладної математики та моделювання складних систем"
"3352","Новітні медіа","Кафедра журналістики та філології"
"3359","Основи біомедичних знань","Кафедра наноелектроніки"
"3365","Об'єктно-орієнтоване програмування на мові Java","секція інформаційно-комунікаційних технологій"
"3366","Технічна підтримка програмного забезпечення","секція інформаційно-комунікаційних технологій"
"3369","Інформаційний синтез телекомунікаційних систем","секція інформаційно-комунікаційних технологій"
"3371","Інтелектуальні функції апаратного забезпечення мереж Ethernet","секція інформаційно-комунікаційних технологій"
"3374","Контроль якості та безпека програмного забезпечення телекомунікаційних систем","секція інформаційно-комунікаційних технологій"
"3376","Technical Solution Support","секція інформаційно-комунікаційних технологій"
"3383","Порівняльне правознавство","Кафедра міжнародного, європейського права та цивільно-правових дисциплін"
"3384","Основи дизайну та графіки","секція ""Інформаційні технології проектування"""
"3389","Комп'ютерний дизайн реклами","Кафедра комп`ютерних наук"
"3389","Комп'ютерний дизайн реклами","секція ""Інформаційні технології проектування"""
"3408","Управління конфліктами та змінами в організації","Кафедра управління"
"3440","Китайська мова","Кафедра германської філології"
"3443","Жанри в Інтернеті","Кафедра журналістики та філології"
"3448","Проектування апаратно-програмного забезпечення локальних мереж","секція інформаційно-комунікаційних технологій"
"3450","Трибомеханіка та основи контактної механіки","Кафедра загальної механіки та динаміки машин"
"3451","Теорія коливань - КР","Кафедра загальної механіки та динаміки машин"
"3457","Web-програмування","Кафедра економічної кібернетики"
"3463","Електричні перетворювачі сонячної енергії","Кафедра електроенергетики"
"3467","Комп'ютерне моделювання в механіці","Кафедра загальної механіки та динаміки машин"
"3473","Схемотехніка","Кафедра електроніки та комп`ютерної техніки"
"3474","Схемотехніка - КР","Кафедра електроніки та комп`ютерної техніки"
"3475","Основи наноелектроніки","Кафедра наноелектроніки"
"3476","Методи математичної фізики","Кафедра наноелектроніки"
"3477","Мікрохвильова техніка","Кафедра наноелектроніки"
"3478","Прикладна біофізика","Кафедра наноелектроніки"
"3479","Квантова та оптоелектроніка","Кафедра наноелектроніки"
"3480","Квантова та оптоелектроніка - КР","Кафедра наноелектроніки"
"3482","Економіка","Кафедра управління"
"3493","Управління соціально-економічним розвитком регіону","Кафедра управління"
"3495","Державне регулювання корпоративною соціальною відповідальністю бізнесу","Кафедра управління"
"3497","Теорія електричних кіл ІІ","Кафедра наноелектроніки"
"3504","Програмне забезпечення механічної обробки в технологічних системах","Кафедра технології машинобудування, верстатів та інструментів"
"3508","Безпечна експлуатація електроустановок споживачів","Кафедра електроенергетики"
"3510","Комп'ютерні системи автоматизованої підготовки виробництва металообробного обладнання","Кафедра технології машинобудування, верстатів та інструментів"
"3548","Управління інвестиціями","Кафедра управління"
"3549","Управління економічним потенціалом підприємства","Кафедра управління"
"3556","Економічний потенціал адміністративних систем","Кафедра управління"
"3559","Дипломна робота бакалавра","Кафедра маркетингу"
"3559","Дипломна робота бакалавра","Кафедра фінансів і підприємництва"
"3560","Функціональна мікро- та наноелектроніка","Кафедра наноелектроніки"
"3561","Технологія нанесення та властивості покриттів","Кафедра прикладного матеріалознавства і технології конструкційних матеріалів"
"3576","Кінцеві пристрої абонентського доступу","Кафедра електроніки та комп`ютерної техніки"
"3584","Фотореклама","Кафедра журналістики та філології"
"3589","Основи теорії телекомунікацій","Кафедра електроніки та комп`ютерної техніки"
"3591","Теорія і методика рекламної та ПР творчості - КР","Кафедра журналістики та філології"
"3592","Теоретичні основи інформаційних мереж операторів зв'язку","секція інформаційно-комунікаційних технологій"
"3593","Методи і принципи проектування бездротових та стільникових телекомунікаційних мереж","секція інформаційно-комунікаційних технологій"
"3595","Проектування апаратно-програмного забезпечення локальних мереж - КР","секція інформаційно-комунікаційних технологій"
"3604","Міжнародне право - КР","Кафедра міжнародного, європейського права та цивільно-правових дисциплін"
"3605","Кримінологія","Кафедра кримінально-правових дисциплін та судочинства"
"3627","Дискретний аналіз і теорія автоматів","секція ""Комп`ютеризовані системи управління"""
"3634","Управління розвитком соціально-економічних систем","Кафедра економіки, підприємництва та бізнес-адміністрування"
"3641","Теорія електрозв'язку","Кафедра електроніки та комп`ютерної техніки"
"3643","Технічна електродинаміка","Кафедра наноелектроніки"
"3644","Технічна електродинаміка - КР","Кафедра наноелектроніки"
"3648","Термінальне устаткування та схемотехніка телекомунікаційних систем","Кафедра електроніки та комп`ютерної техніки"
"3657","Телекомунікаційні системи передачі даних","Кафедра електроніки та комп`ютерної техніки"
"3658","Системи комутації і розподілу інформації","Кафедра електроніки та комп`ютерної техніки"
"3659","Телекомунікаційні та інформаційні мережі","Кафедра електроніки та комп`ютерної техніки"
"3662","Обчислювальна техніка та мікропроцесори","Кафедра електроніки та комп`ютерної техніки"
"3663","Системи комутації і розподілу інформації - КР","Кафедра електроніки та комп`ютерної техніки"
"3664","Напрямні системи електричного та оптичного зв'язку","Кафедра електроніки та комп`ютерної техніки"
"3665","Електроживлення систем зв'язку","Кафедра електроніки та комп`ютерної техніки"
"3666","Основи телебачення та радіомовлення","Кафедра електроніки та комп`ютерної техніки"
"3669","Web-програмування в інформаційно-комунікаційних системах","Кафедра електроніки та комп`ютерної техніки"
"3676","Елементи теорії чисел","Кафедра прикладної математики та моделювання складних систем"
"3680","Проблемно-орієнтоване навчання","Кафедра біофізики, біохімії, фармакології та біомолекулярної інженерії"
"3680","Проблемно-орієнтоване навчання","Кафедра громадського здоров'я"
"3680","Проблемно-орієнтоване навчання","Кафедра морфології"
"3680","Проблемно-орієнтоване навчання","Кафедра фізіології і патофізіології з курсом медичної біології"
"3697","Основи біржової діяльності","Кафедра маркетингу"
"3719","Управління іміджем","Кафедра маркетингу"
"3720","Маркетинг інтелектуальних продуктів","Кафедра маркетингу"
"3725","Методологія і організація наукових досліджень","Кафедра управління"
"3726","Публічне адміністрування","Кафедра бухгалтерського обліку та оподаткування"
"3726","Публічне адміністрування","Кафедра управління"
"3727","Інформаційні системи і технології в управлінні організацією","Кафедра управління"
"3728","Управління змінами","Кафедра економіки, підприємництва та бізнес-адміністрування"
